city1,city2,start,end,carrier_lg
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2013-10-01,2014-01-01,WN
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2014-01-01,2014-07-01,US
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2014-10-01,2015-01-01,US
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2015-01-01,2015-07-01,DL
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2015-10-01,2016-01-01,AA
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2016-01-01,2016-07-01,DL
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2016-10-01,2017-04-01,AA
"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2017-10-01,2018-07-01,AA
"Hartford, CT","Miami, FL (Metropolitan Area)",2008-01-01,2009-07-01,DL
"Hartford, CT","Miami, FL (Metropolitan Area)",2009-07-01,2009-10-01,US
"Hartford, CT","Miami, FL (Metropolitan Area)",2009-10-01,2010-07-01,DL
"Hartford, CT","Miami, FL (Metropolitan Area)",2010-07-01,2010-10-01,US
"Hartford, CT","Miami, FL (Metropolitan Area)",2010-10-01,2013-07-01,B6
"Hartford, CT","Miami, FL (Metropolitan Area)",2013-07-01,2013-10-01,WN
"Hartford, CT","Miami, FL (Metropolitan Area)",2013-10-01,2014-07-01,B6
"Hartford, CT","Miami, FL (Metropolitan Area)",2014-07-01,2014-10-01,WN
"Hartford, CT","Miami, FL (Metropolitan Area)",2014-10-01,2015-07-01,B6
"Hartford, CT","Miami, FL (Metropolitan Area)",2015-07-01,2015-10-01,WN
"Hartford, CT","Miami, FL (Metropolitan Area)",2015-10-01,2016-07-01,B6
"Hartford, CT","Miami, FL (Metropolitan Area)",2016-07-01,2016-10-01,WN
"Hartford, CT","Miami, FL (Metropolitan Area)",2016-10-01,2018-07-01,B6
"Denver, CO","Las Vegas, NV",2008-01-01,2008-04-01,F9
"Denver, CO","Las Vegas, NV",2008-04-01,2018-07-01,WN
"Buffalo, NY","Phoenix, AZ",2008-01-01,2018-07-01,WN
"Indianapolis, IN","Orlando, FL",2008-01-01,2014-01-01,FL
"Indianapolis, IN","Orlando, FL",2014-01-01,2018-07-01,WN
"Kansas City, MO","New Orleans, LA",2008-10-01,2009-01-01,AA
"Kansas City, MO","New Orleans, LA",2009-01-01,2010-07-01,WN
"Kansas City, MO","New Orleans, LA",2010-07-01,2010-10-01,YX
"Kansas City, MO","New Orleans, LA",2010-10-01,2012-01-01,F9
"Kansas City, MO","New Orleans, LA",2012-01-01,2018-07-01,WN
"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",2008-01-01,2018-07-01,WN
"Miami, FL (Metropolitan Area)","Portland, OR",2008-01-01,2008-07-01,DL
"Miami, FL (Metropolitan Area)","Portland, OR",2008-07-01,2010-01-01,CO
"Miami, FL (Metropolitan Area)","Portland, OR",2010-01-01,2010-07-01,DL
"Miami, FL (Metropolitan Area)","Portland, OR",2010-07-01,2011-01-01,AA
"Miami, FL (Metropolitan Area)","Portland, OR",2011-01-01,2011-04-01,DL
"Miami, FL (Metropolitan Area)","Portland, OR",2011-04-01,2011-07-01,CO
"Miami, FL (Metropolitan Area)","Portland, OR",2011-07-01,2012-01-01,AA
"Miami, FL (Metropolitan Area)","Portland, OR",2012-01-01,2014-01-01,UA
"Miami, FL (Metropolitan Area)","Portland, OR",2014-01-01,2014-07-01,DL
"Miami, FL (Metropolitan Area)","Portland, OR",2014-07-01,2015-07-01,UA
"Miami, FL (Metropolitan Area)","Portland, OR",2015-07-01,2015-10-01,AA
"Miami, FL (Metropolitan Area)","Portland, OR",2015-10-01,2016-01-01,UA
"Miami, FL (Metropolitan Area)","Portland, OR",2016-01-01,2018-07-01,AA
"Las Vegas, NV","Richmond, VA",2008-01-01,2008-07-01,US
"Las Vegas, NV","Richmond, VA",2008-07-01,2008-10-01,FL
"Las Vegas, NV","Richmond, VA",2008-10-01,2011-10-01,DL
"Las Vegas, NV","Richmond, VA",2012-01-01,2013-04-01,DL
"Las Vegas, NV","Richmond, VA",2013-07-01,2013-10-01,DL
"Las Vegas, NV","Richmond, VA",2014-01-01,2014-04-01,DL
