"","AIDS.Report.Number","Aircraft.Damage","Primary.Flight.Type"
"8391","19820912063109I","MINOR","PERSONAL"
"8392","19781215025249I","MINOR","BUSINESS"
"8393","19820627036819I","MINOR","PERSONAL"
"8394","19830811050699I","MINOR","PERSONAL"
"8395","19800824077529I","MINOR","PERSONAL"
"8396","19780901016629I","MINOR","PERSONAL"
"8397","19790901033629I","MINOR","PERSONAL"
"8398","19801201085699I","MINOR","PERSONAL"
"8399","19880501020459I","MINOR","PERSONAL"
"8400","19791227035719I","MINOR","PERSONAL"
"8401","19840520038269I","MINOR","PERSONAL"
"8402","19870307055809I","MINOR","PERSONAL"
"8403","19790804030949I","MINOR","PERSONAL"
"8404","19781019030509I","MINOR","PERSONAL"
"8405","19850401018859I","MINOR","BUSINESS"
"8406","19880415010229I","MINOR","PERSONAL"
"8407","19860928072689I","MINOR","PERSONAL"
"8408","19871120080939I","MINOR","BUSINESS"
"8409","19800114013729I","MINOR","AIR TAXI"
"8410","19870421022369I","MINOR","PERSONAL"
"8411","19790701015139I","MINOR","PERSONAL"
"8412","19881226056339I","MINOR","PERSONAL"
"8413","19780122004239I","MINOR","PERSONAL"
"8414","19780225001759I","MINOR","BUSINESS"
"8415","19780722038589I","MINOR","PERSONAL"
"8416","19790125003409I","MINOR","PERSONAL"
"8417","19790619021559I","SUBSTANTIAL","BUSINESS"
"8418","19790729022669I","MINOR","PERSONAL"
"8419","19790805029459I","MINOR","PERSONAL"
"8420","19790902034059I","MINOR","PERSONAL"
"8421","19800623056179I","MINOR","PERSONAL"
"8422","19800707059909I","MINOR","PERSONAL"
"8423","19800801089079I","SUBSTANTIAL","PERSONAL"
"8424","19810222011919I","MINOR","BUSINESS"
"8425","19810408026269I","MINOR","PERSONAL"
"8426","19810804052409I","MINOR","PERSONAL"
"8427","19810819089349I","MINOR","BUSINESS"
"8428","19810929080529I","MINOR","BUSINESS"
"8429","19811009075469I","MINOR","BUSINESS"
"8430","19811130083679I","MINOR","BUSINESS"
"8431","19821024059959I","MINOR","BUSINESS"
"8432","19830628073689I","MINOR","PERSONAL"
"8433","19840304012299I","MINOR","BUSINESS"
"8434","19840925057999I","MINOR","PERSONAL"
"8435","19841119070739I","MINOR","PERSONAL"
"8436","19850914060109I","MINOR","PERSONAL"
"8437","19851001053379I","MINOR","PERSONAL"
"8438","19851007058759I","MINOR","PERSONAL"
"8439","19860222010119I","MINOR","PERSONAL"
"8440","19870110014689I","MINOR","PERSONAL"
"8441","19870619020999I","MINOR","PERSONAL"
"8442","19870703051329I","MINOR","PERSONAL"
"8443","19870829062529I","MINOR","PERSONAL"
"8444","19871113072349I","MINOR","PERSONAL"
"8445","19880405059279I","MINOR","PERSONAL"
"8446","19880627031729I","MINOR","PERSONAL"
"8447","19881006054469I","MINOR","PERSONAL"
"8448","19881107065529I","MINOR","PERSONAL"
"8449","19780422012739I","MINOR","PERSONAL"
"8450","19790307019059I","MINOR","BUSINESS"
"8451","19800918090199I","MINOR","PERSONAL"
"8452","19830725044049I","MINOR","PERSONAL"
"8453","19850424022229I","MINOR","BUSINESS"
"8454","19870111024369I","MINOR","PERSONAL"
"8455","19840806053199I","MINOR","PERSONAL"
"8456","19791023054739I","MINOR","PERSONAL"
"8457","19791209047519I","MINOR","PERSONAL"
"8458","19830206007729I","MINOR","PERSONAL"
"8459","19840124010899I","MINOR","PERSONAL"
"8460","19850219012029I","MINOR","BUSINESS"
"8461","19850308011309I","MINOR","AIR TAXI"
"8462","19860525025709I","MINOR","PERSONAL"
"8463","19871129081239I","MINOR","PERSONAL"
"8464","19880424034119I","MINOR","BUSINESS"
"8465","19880803055579I","MINOR","BUSINESS"
"8466","19880922065749I","MINOR","PERSONAL"
"8467","19860408015389I","MINOR","PERSONAL"
"8468","19790301010289I","MINOR","PERSONAL"
"8469","19820307007359I","MINOR","PERSONAL"
"8470","19780924017549I","MINOR","PERSONAL"
"8471","19870126015359I","MINOR","BUSINESS"
"8472","19780726036569I","MINOR","PERSONAL"
"8473","19810529041899I","MINOR","BUSINESS"
"8474","19830816050659I","MINOR","PERSONAL"
"8475","19800621056009I","MINOR","PERSONAL"
"8476","19860612034189I","MINOR","PERSONAL"
"8477","19790727021799I","MINOR","PERSONAL"
"8478","19830723044399I","MINOR","PERSONAL"
"8479","19871213075939I","MINOR","PERSONAL"
"8480","19880104007149I","MINOR","PERSONAL"
"8481","19821028068949I","MINOR","PERSONAL"
"8482","19840129074549I","MINOR","PERSONAL"
"8483","19851004056359I","MINOR","PERSONAL"
"8484","19870102006559I","MINOR","PERSONAL"
"8485","19870219010979I","MINOR","BUSINESS"
"8486","19870607055709I","MINOR","PERSONAL"
"8487","19870911062549I","MINOR","PERSONAL"
"8488","19790723021189I","MINOR","PERSONAL"
"8489","19781003030999I","SUBSTANTIAL","BUSINESS"
"8490","19790810030339I","MINOR","PERSONAL"
"8491","19840520028739I","MINOR","PERSONAL"
"8492","19870604036949I","MINOR","PERSONAL"
"8493","19870705063839I","MINOR","PERSONAL"
"8494","19870824055559I","MINOR","PERSONAL"
"8495","19880601024509I","MINOR","PERSONAL"
"8496","19810725044189I","MINOR","PERSONAL"
"8497","19860617061029I","MINOR","PERSONAL"
"8498","19780526040219I","MINOR","BUSINESS"
"8499","19790506025849I","MINOR","BUSINESS"
"8500","19790729022529I","MINOR","PERSONAL"
"8501","19800528051739I","MINOR","ILLEGAL"
"8502","19840309012429I","MINOR","PERSONAL"
"8503","19840517058949I","MINOR","PERSONAL"
"8504","19860309013569I","MINOR","PERSONAL"
"8505","19870411009139I","MINOR","PERSONAL"
"8506","19880521031389I","MINOR","PERSONAL"
"8507","19780827039419I","MINOR","PERSONAL"
"8508","19800307028919I","MINOR","PERSONAL"
"8509","19850730046509I","MINOR","BUSINESS"
"8510","19780114003079I","MINOR","BUSINESS"
"8511","19870611042849I","MINOR","PERSONAL"
"8512","19860721065199I","MINOR","PERSONAL"
"8513","19810512054439I","MINOR","BUSINESS"
"8514","19820625039469I","MINOR","PERSONAL"
"8515","19781124025609I","MINOR","PERSONAL"
"8516","19800108011969I","SUBSTANTIAL","BUSINESS"
"8517","19810922068869I","MINOR","PERSONAL"
"8518","19800621055909I","MINOR","PERSONAL"
"8519","19800625048949I","MINOR","BUSINESS"
"8520","19780226002029I","MINOR","PERSONAL"
"8521","19790602028969I","MINOR","AIR TAXI"
"8522","19821029066359I","MINOR","PERSONAL"
"8523","19850106008909I","MINOR","BUSINESS"
"8524","19871205075409I","MINOR","PERSONAL"
"8525","19830925067309I","MINOR","PERSONAL"
"8526","19840715045289I","MINOR","BUSINESS"
"8527","19870912062039I","MINOR","PERSONAL"
"8528","19881116061519I","MINOR","BUSINESS"
"8529","19800129020099I","MINOR","PERSONAL"
"8530","19880704044129I","MINOR","PERSONAL"
"8531","19800913070499I","MINOR","PERSONAL"
"8532","19860618059419I","MINOR","PERSONAL"
"8533","19801021075479I","MINOR","BUSINESS"
"8534","19801118084929I","MINOR","PERSONAL"
"8535","19830903067819I","MINOR","PERSONAL"
"8536","19850119004529I","MINOR","BUSINESS"
"8537","19850802041179I","MINOR","BUSINESS"
"8538","19841130069089I","MINOR","PERSONAL"
"8539","19780108002229I","MINOR","PERSONAL"
"8540","19780120003709I","MINOR","PERSONAL"
"8541","19780129004449I","MINOR","PERSONAL"
"8542","19780205005969I","MINOR","PERSONAL"
"8543","19780221000279I","MINOR","PERSONAL"
"8544","19780305016159I","MINOR","SCHEDULED AIR CARRIER"
"8545","19780310014739I","MINOR","PERSONAL"
"8546","19780316013309I","MINOR","BUSINESS"
"8547","19780317013559I","MINOR","BUSINESS"
"8548","19780407008559I","MINOR","PERSONAL"
"8549","19780415012559I","MINOR","PERSONAL"
"8550","19780419012969I","MINOR","PERSONAL"
"8551","19780422012679I","MINOR","BUSINESS"
"8552","19780422012689I","MINOR","PERSONAL"
"8553","19780422013339I","MINOR","PERSONAL"
"8554","19780513033749I","MINOR","PERSONAL"
"8555","19780518033909I","MINOR","PERSONAL"
"8556","19780525040339I","MINOR","PERSONAL"
"8557","19780526040209I","SUBSTANTIAL","PERSONAL"
"8558","19780527040869I","MINOR","PERSONAL"
"8559","19780609045179I","MINOR","BUSINESS"
"8560","19780611045349I","MINOR","BUSINESS"
"8561","19780612045449I","MINOR","PERSONAL"
"8562","19780620046839I","MINOR","PERSONAL"
"8563","19780621046959I","MINOR","PERSONAL"
"8564","19780704042129I","MINOR","PERSONAL"
"8565","19780706042449I","MINOR","BUSINESS"
"8566","19780810049269I","MINOR","PERSONAL"
"8567","19780823047859I","MINOR","PERSONAL"
"8568","19780824049349I","MINOR","PERSONAL"
"8569","19780901016759I","MINOR","PERSONAL"
"8570","19780921019709I","MINOR","BUSINESS"
"8571","19780923027099I","MINOR","PERSONAL"
"8572","19780926028689I","MINOR","PERSONAL"
"8573","19780929028899I","MINOR","PERSONAL"
"8574","19781013030459I","MINOR","PERSONAL"
"8575","19781103024239I","MINOR","PERSONAL"
"8576","19781104023939I","MINOR","PERSONAL"
"8577","19781207022829I","MINOR","PERSONAL"
"8578","19781212024909I","MINOR","PERSONAL"
"8579","19781230019969I","MINOR","PERSONAL"
"8580","19790117002219I","MINOR","BUSINESS"
"8581","19790126003529I","MINOR","PERSONAL"
"8582","19790201004379I","MINOR","PERSONAL"
"8583","19790203004699I","MINOR","PERSONAL"
"8584","19790216006049I","MINOR","PERSONAL"
"8585","19790310019779I","MINOR","PERSONAL"
"8586","19790324011279I","MINOR","PERSONAL"
"8587","19790325011949I","MINOR","PERSONAL"
"8588","19790325011979I","MINOR","PERSONAL"
"8589","19790406013219I","MINOR","PERSONAL"
"8590","19790414012289I","MINOR","PERSONAL"
"8591","19790414012519I","NONE","PERSONAL"
"8592","19790517027119I","MINOR","PERSONAL"
"8593","19790519027299I","MINOR","PERSONAL"
"8594","19790524027459I","MINOR","PERSONAL"
"8595","19790526100399I","MINOR","PERSONAL"
"8596","19790602016059I","MINOR","PERSONAL"
"8597","19790627017509I","MINOR","PERSONAL"
"8598","19790701015359I","MINOR","PERSONAL"
"8599","19790707019919I","MINOR","PERSONAL"
"8600","19790708020269I","MINOR","PERSONAL"
"8601","19790710018709I","MINOR","PERSONAL"
"8602","19790715020939I","MINOR","PERSONAL"
"8603","19790801029219I","MINOR","PERSONAL"
"8604","19790801029229I","MINOR","PERSONAL"
"8605","19790803029899I","MINOR","PERSONAL"
"8606","19790804030839I","MINOR","PERSONAL"
"8607","19790807029649I","MINOR","PERSONAL"
"8608","19790808030159I","MINOR","PERSONAL"
"8609","19790810030319I","MINOR","PERSONAL"
"8610","19790812030659I","MINOR","PERSONAL"
"8611","19790827032899I","MINOR","BUSINESS"
"8612","19790830033419I","MINOR","AIR TAXI"
"8613","19790918023639I","MINOR","PERSONAL"
"8614","19791002050899I","MINOR","PERSONAL"
"8615","19791008051849I","MINOR","BUSINESS"
"8616","19791009051659I","MINOR","BUSINESS"
"8617","19791013052659I","MINOR","PERSONAL"
"8618","19791029053559I","MINOR","PERSONAL"
"8619","19791117045359I","MINOR","PERSONAL"
"8620","19791206045989I","MINOR","PERSONAL"
"8621","19791209000289I","MINOR","PERSONAL"
"8622","19791212047219I","MINOR","BUSINESS"
"8623","19791217046499I","MINOR","PERSONAL"
"8624","19791218046329I","MINOR","PERSONAL"
"8625","19791224000329I","MINOR","PERSONAL"
"8626","19800115013279I","MINOR","BUSINESS"
"8627","19800124018139I","MINOR","PERSONAL"
"8628","19800126015989I","MINOR","PERSONAL"
"8629","19800202030939I","MINOR","PERSONAL"
"8630","19800212031209I","MINOR","BUSINESS"
"8631","19800217031629I","MINOR","PERSONAL"
"8632","19800229031259I","MINOR","BUSINESS"
"8633","19800303029799I","MINOR","PERSONAL"
"8634","19800304028539I","MINOR","PERSONAL"
"8635","19800316040289I","MINOR","PERSONAL"
"8636","19800316040319I","MINOR","PERSONAL"
"8637","19800410050239I","MINOR","PERSONAL"
"8638","19800424046169I","MINOR","PERSONAL"
"8639","19800427045159I","MINOR","PERSONAL"
"8640","19800430046819I","MINOR","PERSONAL"
"8641","19800504044989I","MINOR","BUSINESS"
"8642","19800505050819I","MINOR","BUSINESS"
"8643","19800514045309I","MINOR","PERSONAL"
"8644","19800524053929I","MINOR","PERSONAL"
"8645","19800531052189I","MINOR","PERSONAL"
"8646","19800608055381I","MINOR","PERSONAL"
"8647","19800613053599I","MINOR","BUSINESS"
"8648","19800617054979I","MINOR","BUSINESS"
"8649","19800618055249I","MINOR","PERSONAL"
"8650","19800620055799I","MINOR","PERSONAL"
"8651","19800627049049I","MINOR","PERSONAL"
"8652","19800728062749I","MINOR","PERSONAL"
"8653","19800729086549I","MINOR","BUSINESS"
"8654","19800802068529I","MINOR","PERSONAL"
"8655","19800816067099I","MINOR","PERSONAL"
"8656","19800901068059I","MINOR","PERSONAL"
"8657","19800908069849I","MINOR","BUSINESS"
"8658","19800916068749I","MINOR","PERSONAL"
"8659","19800920081999I","MINOR","PERSONAL"
"8660","19800923070879I","MINOR","PERSONAL"
"8661","19800929071919I","MINOR","BUSINESS"
"8662","19801009073439I","MINOR","PERSONAL"
"8663","19801009077799I","MINOR","PERSONAL"
"8664","19801013074079I","MINOR","PERSONAL"
"8665","19801018075149I","MINOR","PERSONAL"
"8666","19801228088139I","MINOR","PERSONAL"
"8667","19810125031269I","MINOR","PERSONAL"
"8668","19810131024649I","MINOR","PERSONAL"
"8669","19810320020959I","MINOR","PERSONAL"
"8670","19810406029099I","MINOR","BUSINESS"
"8671","19810410033159I","MINOR","PERSONAL"
"8672","19810416031519I","MINOR","PERSONAL"
"8673","19810429029879I","MINOR","BUSINESS"
"8674","19810503055069I","MINOR","AIR TAXI"
"8675","19810514034339I","MINOR","PERSONAL"
"8676","19810517034209I","MINOR","PERSONAL"
"8677","19810607043279I","MINOR","PERSONAL"
"8678","19810609054939I","MINOR","PERSONAL"
"8679","19810618064749I","MINOR","PERSONAL"
"8680","19810626054529I","MINOR","PERSONAL"
"8681","19810708062449I","MINOR","PERSONAL"
"8682","19810712040049I","MINOR","PERSONAL"
"8683","19810719056769I","MINOR","PERSONAL"
"8684","19810729064789I","MINOR","PERSONAL"
"8685","19810807061929I","MINOR","PERSONAL"
"8686","19810816063219I","MINOR","BUSINESS"
"8687","19810823068379I","MINOR","PERSONAL"
"8688","19810910069569I","MINOR","PERSONAL"
"8689","19810914068519I","MINOR","PERSONAL"
"8690","19810928081789I","MINOR","BUSINESS"
"8691","19811017080349I","MINOR","PERSONAL"
"8692","19811026077999I","MINOR","PERSONAL"
"8693","19811105082329I","MINOR","PERSONAL"
"8694","19811109081449I","MINOR","PERSONAL"
"8695","19811230088559I","MINOR","PERSONAL"
"8696","19820109037299I","MINOR","PERSONAL"
"8697","19820124070469I","MINOR","PERSONAL"
"8698","19820216003289I","MINOR","BUSINESS"
"8699","19820317022349I","MINOR","BUSINESS"
"8700","19820320018729I","MINOR","PERSONAL"
"8701","19820424024469I","MINOR","PERSONAL"
"8702","19820510029339I","MINOR","PERSONAL"
"8703","19820512025639I","MINOR","PERSONAL"
"8704","19820724045559I","MINOR","PERSONAL"
"8705","19820815044849I","MINOR","PERSONAL"
"8706","19820826050839I","MINOR","BUSINESS"
"8707","19820918059049I","MINOR","PERSONAL"
"8708","19820922055429I","MINOR","PERSONAL"
"8709","19820926057129I","MINOR","PERSONAL"
"8710","19821006065469I","MINOR","PERSONAL"
"8711","19821009061839I","MINOR","PERSONAL"
"8712","19821017061259I","MINOR","PERSONAL"
"8713","19821029068649I","MINOR","PERSONAL"
"8714","19821031062549I","MINOR","PERSONAL"
"8715","19830117013599I","MINOR","BUSINESS"
"8716","19830118007859I","MINOR","BUSINESS"
"8717","19830211010349I","MINOR","PERSONAL"
"8718","19830228065179I","MINOR","BUSINESS"
"8719","19830304011029I","MINOR","BUSINESS"
"8720","19830324015589I","MINOR","PERSONAL"
"8721","19830409017499I","MINOR","PERSONAL"
"8722","19830605038879I","MINOR","PERSONAL"
"8723","19830618025529I","MINOR","PERSONAL"
"8724","19830701044059I","MINOR","PERSONAL"
"8725","19830710040399I","MINOR","PERSONAL"
"8726","19830718052339I","MINOR","PERSONAL"
"8727","19830730052039I","MINOR","PERSONAL"
"8728","19830805061959I","MINOR","PERSONAL"
"8729","19830822062469I","MINOR","PERSONAL"
"8730","19830830052349I","MINOR","PERSONAL"
"8731","19830919066209I","MINOR","PERSONAL"
"8732","19831019069689I","MINOR","AIR TAXI"
"8733","19831023068289I","MINOR","PERSONAL"
"8734","19831026068589I","MINOR","PERSONAL"
"8735","19831117071379I","MINOR","PERSONAL"
"8736","19831119071579I","MINOR","PERSONAL"
"8737","19831215075039I","MINOR","SCHEDULED AIR CARRIER"
"8738","19840112002389I","MINOR","PERSONAL"
"8739","19840117002539I","MINOR","PERSONAL"
"8740","19840124011499I","MINOR","PERSONAL"
"8741","19840303012279I","MINOR","PERSONAL"
"8742","19840429027489I","MINOR","PERSONAL"
"8743","19840516030919I","MINOR","PERSONAL"
"8744","19840714060179I","MINOR","PERSONAL"
"8745","19840726047129I","MINOR","PERSONAL"
"8746","19840901066749I","MINOR","PERSONAL"
"8747","19840906056789I","MINOR","PERSONAL"
"8748","19841025063979I","MINOR","PERSONAL"
"8749","19841109070579I","MINOR","PERSONAL"
"8750","19841125074329I","MINOR","PERSONAL"
"8751","19841210070789I","MINOR","PERSONAL"
"8752","19850216009669I","MINOR","PERSONAL"
"8753","19850331013879I","MINOR","PERSONAL"
"8754","19850419019989I","MINOR","PERSONAL"
"8755","19850426022259I","MINOR","PERSONAL"
"8756","19850430044589I","MINOR","PERSONAL"
"8757","19850519047589I","SUBSTANTIAL","PERSONAL"
"8758","19850604029259I","MINOR","PERSONAL"
"8759","19850620035679I","MINOR","PERSONAL"
"8760","19850622073589I","MINOR","PERSONAL"
"8761","19850626035749I","MINOR","PERSONAL"
"8762","19850630034759I","MINOR","BUSINESS"
"8763","19850713042649I","MINOR","BUSINESS"
"8764","19850725060209I","MINOR","PERSONAL"
"8765","19850730053029I","MINOR","PERSONAL"
"8766","19850925065269I","MINOR","BUSINESS"
"8767","19851015060399I","MINOR","PERSONAL"
"8768","19851021068719I","MINOR","PERSONAL"
"8769","19851113068259I","MINOR","BUSINESS"
"8770","19851115067059I","MINOR","PERSONAL"
"8771","19851124066859I","MINOR","PERSONAL"
"8772","19851222070669I","MINOR","PERSONAL"
"8773","19860125003549I","MINOR","PERSONAL"
"8774","19860221008809I","MINOR","PERSONAL"
"8775","19860425030569I","MINOR","BUSINESS"
"8776","19860501023959I","MINOR","PERSONAL"
"8777","19860516058049I","MINOR","PERSONAL"
"8778","19860617073979I","MINOR","PERSONAL"
"8779","19860621036019I","MINOR","PERSONAL"
"8780","19860622036159I","MINOR","PERSONAL"
"8781","19860804063019I","MINOR","PERSONAL"
"8782","19860821048089I","MINOR","PERSONAL"
"8783","19860823060909I","MINOR","PERSONAL"
"8784","19870124014329I","MINOR","BUSINESS"
"8785","19870314066239I","MINOR","PERSONAL"
"8786","19870323024739I","MINOR","PERSONAL"
"8787","19870515038439I","MINOR","PERSONAL"
"8788","19870517024419I","MINOR","PERSONAL"
"8789","19870618064649I","MINOR","BUSINESS"
"8790","19870713042429I","MINOR","PERSONAL"
"8791","19870816062119I","SUBSTANTIAL","PERSONAL"
"8792","19870819063779I","MINOR","PERSONAL"
"8793","19870905055009I","MINOR","SCHEDULED AIR CARRIER"
"8794","19870927078749I","MINOR","PERSONAL"
"8795","19871001065399I","MINOR","PERSONAL"
"8796","19871005065479I","MINOR","PERSONAL"
"8797","19871014064369I","MINOR","PERSONAL"
"8798","19880107003569I","MINOR","PERSONAL"
"8799","19880126012079I","MINOR","BUSINESS"
"8800","19880220003099I","MINOR","PERSONAL"
"8801","19880302011859I","MINOR","PERSONAL"
"8802","19880313043259I","MINOR","PERSONAL"
"8803","19880316011609I","MINOR","PERSONAL"
"8804","19880323014179I","MINOR","PERSONAL"
"8805","19880331041579I","MINOR","PERSONAL"
"8806","19880410023389I","MINOR","PERSONAL"
"8807","19880417022249I","MINOR","PERSONAL"
"8808","19880417071769I","MINOR","PERSONAL"
"8809","19880602044219I","MINOR","PERSONAL"
"8810","19880604033209I","MINOR","PERSONAL"
"8811","19880615045339I","MINOR","PERSONAL"
"8812","19880628034759I","MINOR","PERSONAL"
"8813","19880715050229I","MINOR","PERSONAL"
"8814","19880825060629I","MINOR","PERSONAL"
"8815","19880829049229I","MINOR","PERSONAL"
"8816","19880829063359I","MINOR","PERSONAL"
"8817","19881008054209I","MINOR","PERSONAL"
"8818","19881017066009I","MINOR","PERSONAL"
"8819","19881104066419I","MINOR","PERSONAL"
"8820","19881126069099I","MINOR","PERSONAL"
"8821","19881202068529I","MINOR","PERSONAL"
"8822","19881203065649I","MINOR","PERSONAL"
"8823","19881203066929I","MINOR","PERSONAL"
"8824","19881218069229I","MINOR","PERSONAL"
"8825","19870307080429I","MINOR","PERSONAL"
"8826","19871113074729I","MINOR","PERSONAL"
"8827","19791029053599I","MINOR","PERSONAL"
"8828","19800527051589I","MINOR","PERSONAL"
"8829","19850502056519I","MINOR","AIR TAXI"
"8830","19861229077889I","MINOR","PERSONAL"
"8831","19850427024019I","MINOR","PERSONAL"
"8832","19860322011239I","MINOR","PERSONAL"
"8833","19780504031999I","MINOR","PERSONAL"
"8834","19850915051099I","MINOR","PERSONAL"
"8835","19841227072269I","MINOR","PERSONAL"
"8836","19850814045299I","MINOR","BUSINESS"
"8837","19781112019529I","MINOR","PERSONAL"
"8838","19781231019899I","MINOR","PERSONAL"
"8839","19800710060429I","MINOR","PERSONAL"
"8840","19810920069709I","MINOR","PERSONAL"
"8841","19781119026369I","SUBSTANTIAL","PERSONAL"
"8842","19871221080269I","MINOR","PERSONAL"
"8843","19810318031369I","MINOR","PERSONAL"
"8844","19871205078679I","MINOR","PERSONAL"
"8845","19840120002569I","MINOR","PERSONAL"
"8846","19870121005769I","MINOR","PERSONAL"
"8847","19780201005249I","MINOR","BUSINESS"
"8848","19830927066729I","MINOR","BUSINESS"
"8849","19861102067799I","MINOR","PERSONAL"
"8850","19790618021519I","MINOR","AIR TAXI"
"8851","19800309024539I","MINOR","PERSONAL"
"8852","19800507051259I","MINOR","PERSONAL"
"8853","19800925071059I","MINOR","PERSONAL"
"8854","19810702057499I","MINOR","PERSONAL"
"8855","19830603067129I","MINOR","PERSONAL"
"8856","19840701042479I","MINOR","PERSONAL"
"8857","19870529023639I","MINOR","BUSINESS"
"8858","19780322010519I","MINOR","BUSINESS"
"8859","19831023068259I","MINOR","PERSONAL"
"8860","19880603040389I","MINOR","PERSONAL"
"8861","19780708043069I","MINOR","PERSONAL"
"8862","19860331013659I","MINOR","BUSINESS"
"8863","19851016069269I","SUBSTANTIAL","PERSONAL"
"8864","19860503022559I","MINOR","PERSONAL"
"8865","19800616054399I","MINOR","PERSONAL"
"8866","19800706059739I","MINOR","PERSONAL"
"8867","19840124011469I","MINOR","PERSONAL"
"8868","19850602036609I","MINOR","PERSONAL"
"8869","19850824077069I","MINOR","PERSONAL"
"8870","19871007073749I","MINOR","PERSONAL"
"8871","19790812030679I","MINOR","PERSONAL"
"8872","19780713043909I","MINOR","PERSONAL"
"8873","19871021079919I","MINOR","PERSONAL"
"8874","19821212067299I","MINOR","PERSONAL"
"8875","19840722041089I","MINOR","PERSONAL"
"8876","19850720037269I","MINOR","PERSONAL"
"8877","19881231066729I","MINOR","PERSONAL"
"8878","19810121000929I","MINOR","PERSONAL"
"8879","19880930053499I","MINOR","PERSONAL"
"8880","19820813048569I","SUBSTANTIAL","BUSINESS"
"8881","19800112014909I","MINOR","PERSONAL"
"8882","19811205086519I","MINOR","AIR TAXI"
"8883","19801224088819I","MINOR","BUSINESS"
"8884","19780311016509I","MINOR","PERSONAL"
"8885","19821020061959I","MINOR","PERSONAL"
"8886","19880109010939I","MINOR","BUSINESS"
"8887","19790919023939I","MINOR","PERSONAL"
"8888","19791027054199I","MINOR","BUSINESS"
"8889","19820407018739I","MINOR","PERSONAL"
"8890","19820407069739I","MINOR","BUSINESS"
"8891","19820930061389I","MINOR","PERSONAL"
"8892","19830803062249I","MINOR","PERSONAL"
"8893","19841221072409I","MINOR","PERSONAL"
"8894","19851004062289I","MINOR","BUSINESS"
"8895","19870724051059I","MINOR","PERSONAL"
"8896","19790303010769I","MINOR","AIR TAXI"
"8897","19860626059189I","MINOR","BUSINESS"
"8898","19850707060069I","MINOR","PERSONAL"
"8899","19800509051859I","MINOR","BUSINESS"
"8900","19800930072009I","MINOR","PERSONAL"
"8901","19811016087069I","MINOR","PERSONAL"
"8902","19780107001649I","MINOR","PERSONAL"
"8903","19780623036299I","MINOR","PERSONAL"
"8904","19780723038829I","MINOR","PERSONAL"
"8905","19781009029949I","MINOR","BUSINESS"
"8906","19790428100729I","MINOR","PERSONAL"
"8907","19790630018239I","MINOR","PERSONAL"
"8908","19800129020169I","MINOR","PERSONAL"
"8909","19800430046799I","MINOR","PERSONAL"
"8910","19810709051919I","MINOR","PERSONAL"
"8911","19821015060829I","MINOR","BUSINESS"
"8912","19821019065769I","MINOR","PERSONAL"
"8913","19830722044069I","MINOR","PERSONAL"
"8914","19840820051009I","MINOR","BUSINESS"
"8915","19840911070089I","MINOR","BUSINESS"
"8916","19841031060879I","MINOR","PERSONAL"
"8917","19850113013329I","MINOR","PERSONAL"
"8918","19850223012039I","MINOR","BUSINESS"
"8919","19850425022119I","MINOR","PERSONAL"
"8920","19850713045309I","MINOR","PERSONAL"
"8921","19850723055109I","MINOR","PERSONAL"
"8922","19860423033779I","MINOR","PERSONAL"
"8923","19860712037939I","MINOR","AIR TAXI"
"8924","19860728060599I","MINOR","PERSONAL"
"8925","19860809046589I","MINOR","PERSONAL"
"8926","19870228013859I","MINOR","PERSONAL"
"8927","19870603037979I","MINOR","PERSONAL"
"8928","19871226079269I","MINOR","PERSONAL"
"8929","19880804069429I","MINOR","PERSONAL"
"8930","19840531037109I","MINOR","PERSONAL"
"8931","19840817048819I","MINOR","PERSONAL"
"8932","19881003061089I","MINOR","PERSONAL"
"8933","19791209047739I","MINOR","PERSONAL"
"8934","19800823082709I","MINOR","PERSONAL"
"8935","19840507048859I","MINOR","PERSONAL"
"8936","19870322022929I","MINOR","PERSONAL"
"8937","19830911065699I","MINOR","PERSONAL"
"8938","19840101002659I","MINOR","PERSONAL"
"8939","19880907053989I","MINOR","PERSONAL"
"8940","19831024068399I","MINOR","PERSONAL"
"8941","19780421012819I","MINOR","PERSONAL"
"8942","19790324011319I","MINOR","PERSONAL"
"8943","19790507026159I","MINOR","PERSONAL"
"8944","19801104078929I","MINOR","PERSONAL"
"8945","19801126084589I","MINOR","PERSONAL"
"8946","19811205088499I","MINOR","PERSONAL"
"8947","19830623037539I","MINOR","PERSONAL"
"8948","19780613045599I","MINOR","PERSONAL"
"8949","19780517035059I","MINOR","PERSONAL"
"8950","19810419034389I","MINOR","PERSONAL"
"8951","19850417017169I","MINOR","PERSONAL"
"8952","19780725039439I","MINOR","PERSONAL"
"8953","19820331013319I","MINOR","BUSINESS"
"8954","19810609043059I","MINOR","PERSONAL"
"8955","19810713043799I","MINOR","PERSONAL"
"8956","19811021075179I","MINOR","PERSONAL"
"8957","19870612042249I","MINOR","BUSINESS"
"8958","19870913062819I","MINOR","PERSONAL"
"8959","19790924050329I","NONE","BUSINESS"
"8960","19780202005609I","MINOR","AIR TAXI"
"8961","19780812037699I","MINOR","PERSONAL"
"8962","19781125024579I","MINOR","PERSONAL"
"8963","19840623035359I","MINOR","PERSONAL"
"8964","19850407024169I","MINOR","PERSONAL"
"8965","19880608060169I","MINOR","BUSINESS"
"8966","19881012061729I","MINOR","BUSINESS"
"8967","19831121072119I","MINOR","PERSONAL"
