city1,city2,start,end,carrier_low
"Charleston, SC","Houston, TX",2012-10-01,2014-01-01,WN
"Charleston, SC","Houston, TX",2014-04-01,2015-01-01,WN
"Charleston, SC","Houston, TX",2015-04-01,2015-07-01,WN
"Charleston, SC","Houston, TX",2015-07-01,2015-10-01,AA
"Charleston, SC","Houston, TX",2015-10-01,2016-01-01,WN
"Charleston, SC","Houston, TX",2016-04-01,2018-07-01,WN
"Louisville, KY","Tampa, FL (Metropolitan Area)",2008-01-01,2008-10-01,WN
"Louisville, KY","Tampa, FL (Metropolitan Area)",2008-10-01,2009-01-01,DL
"Louisville, KY","Tampa, FL (Metropolitan Area)",2009-01-01,2010-04-01,WN
"Louisville, KY","Tampa, FL (Metropolitan Area)",2010-04-01,2010-07-01,DL
"Louisville, KY","Tampa, FL (Metropolitan Area)",2010-07-01,2010-10-01,WN
"Louisville, KY","Tampa, FL (Metropolitan Area)",2010-10-01,2011-07-01,DL
"Louisville, KY","Tampa, FL (Metropolitan Area)",2011-07-01,2011-10-01,WN
"Louisville, KY","Tampa, FL (Metropolitan Area)",2011-10-01,2013-04-01,DL
"Louisville, KY","Tampa, FL (Metropolitan Area)",2013-04-01,2013-07-01,WN
"Louisville, KY","Tampa, FL (Metropolitan Area)",2013-07-01,2013-10-01,US
"Louisville, KY","Tampa, FL (Metropolitan Area)",2013-10-01,2017-07-01,WN
"Louisville, KY","Tampa, FL (Metropolitan Area)",2017-07-01,2018-07-01,G4
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2008-01-01,2008-07-01,U5
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2008-07-01,2009-04-01,FL
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2009-04-01,2009-07-01,WN
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2009-07-01,2010-07-01,FL
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2010-07-01,2010-10-01,WN
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2010-10-01,2011-04-01,FL
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2011-04-01,2011-07-01,WN
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2011-07-01,2013-04-01,FL
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2013-04-01,2013-10-01,DL
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2013-10-01,2014-01-01,FL
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2014-01-01,2014-10-01,WN
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2014-10-01,2018-07-01,B6
"Chicago, IL","Richmond, VA",2008-01-01,2008-10-01,US
"Chicago, IL","Richmond, VA",2008-10-01,2009-07-01,AA
"Chicago, IL","Richmond, VA",2009-07-01,2009-10-01,US
"Chicago, IL","Richmond, VA",2009-10-01,2010-10-01,AA
"Chicago, IL","Richmond, VA",2010-10-01,2014-04-01,US
"Chicago, IL","Richmond, VA",2014-04-01,2016-07-01,DL
"Chicago, IL","Richmond, VA",2016-07-01,2016-10-01,AA
"Chicago, IL","Richmond, VA",2016-10-01,2017-04-01,DL
"Chicago, IL","Richmond, VA",2017-04-01,2017-07-01,UA
"Chicago, IL","Richmond, VA",2017-07-01,2018-01-01,AA
"Chicago, IL","Richmond, VA",2018-01-01,2018-07-01,UA
"Atlanta, GA (Metropolitan Area)","St. Louis, MO",2008-01-01,2014-10-01,FL
"Atlanta, GA (Metropolitan Area)","St. Louis, MO",2014-10-01,2018-07-01,WN
"Minneapolis/St. Paul, MN","San Diego, CA",2008-01-01,2012-01-01,SY
"Minneapolis/St. Paul, MN","San Diego, CA",2012-01-01,2012-04-01,US
"Minneapolis/St. Paul, MN","San Diego, CA",2012-04-01,2018-07-01,SY
"Houston, TX","Raleigh/Durham, NC",2008-01-01,2008-04-01,US
"Houston, TX","Raleigh/Durham, NC",2008-04-01,2008-10-01,WN
"Houston, TX","Raleigh/Durham, NC",2008-10-01,2009-04-01,US
"Houston, TX","Raleigh/Durham, NC",2009-04-01,2009-07-01,WN
"Houston, TX","Raleigh/Durham, NC",2009-07-01,2010-01-01,US
"Houston, TX","Raleigh/Durham, NC",2010-01-01,2010-10-01,WN
"Houston, TX","Raleigh/Durham, NC",2010-10-01,2011-01-01,US
"Houston, TX","Raleigh/Durham, NC",2011-01-01,2011-07-01,WN
"Houston, TX","Raleigh/Durham, NC",2011-07-01,2011-10-01,FL
"Houston, TX","Raleigh/Durham, NC",2011-10-01,2012-10-01,WN
"Houston, TX","Raleigh/Durham, NC",2012-10-01,2013-01-01,FL
"Houston, TX","Raleigh/Durham, NC",2013-01-01,2013-04-01,US
"Houston, TX","Raleigh/Durham, NC",2013-04-01,2014-10-01,WN
"Houston, TX","Raleigh/Durham, NC",2014-10-01,2015-04-01,US
"Houston, TX","Raleigh/Durham, NC",2015-04-01,2015-07-01,WN
"Houston, TX","Raleigh/Durham, NC",2015-07-01,2016-01-01,AA
"Houston, TX","Raleigh/Durham, NC",2016-01-01,2018-07-01,WN
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2008-01-01,2011-04-01,FL
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2011-04-01,2011-07-01,DL
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2011-07-01,2012-04-01,FL
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2012-04-01,2013-01-01,WN
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2013-01-01,2014-04-01,US
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2014-04-01,2015-01-01,AA
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2015-01-01,2015-04-01,US
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2015-04-01,2018-01-01,AA
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2018-01-01,2018-07-01,DL
"Seattle, WA","Washington, DC (Metropolitan Area)",2008-01-01,2008-04-01,AS
"Seattle, WA","Washington, DC (Metropolitan Area)",2008-04-01,2008-10-01,FL
"Seattle, WA","Washington, DC (Metropolitan Area)",2008-10-01,2009-01-01,UA
"Seattle, WA","Washington, DC (Metropolitan Area)",2009-01-01,2009-04-01,DL
"Seattle, WA","Washington, DC (Metropolitan Area)",2009-04-01,2009-10-01,FL
"Seattle, WA","Washington, DC (Metropolitan Area)",2009-10-01,2010-01-01,WN
"Seattle, WA","Washington, DC (Metropolitan Area)",2010-01-01,2010-04-01,DL
"Seattle, WA","Washington, DC (Metropolitan Area)",2010-04-01,2010-10-01,FL
"Seattle, WA","Washington, DC (Metropolitan Area)",2010-10-01,2011-01-01,DL
"Seattle, WA","Washington, DC (Metropolitan Area)",2011-01-01,2011-04-01,WN
"Seattle, WA","Washington, DC (Metropolitan Area)",2011-04-01,2011-10-01,FL
"Seattle, WA","Washington, DC (Metropolitan Area)",2011-10-01,2012-04-01,DL
"Seattle, WA","Washington, DC (Metropolitan Area)",2012-04-01,2012-07-01,WN
"Seattle, WA","Washington, DC (Metropolitan Area)",2012-07-01,2013-04-01,DL
"Seattle, WA","Washington, DC (Metropolitan Area)",2013-04-01,2013-10-01,WN
"Seattle, WA","Washington, DC (Metropolitan Area)",2013-10-01,2014-04-01,DL
"Seattle, WA","Washington, DC (Metropolitan Area)",2014-04-01,2018-01-01,WN
"Seattle, WA","Washington, DC (Metropolitan Area)",2018-01-01,2018-04-01,AS
"Seattle, WA","Washington, DC (Metropolitan Area)",2018-04-01,2018-07-01,WN
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2008-04-01,2008-10-01,NW
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2008-10-01,2009-01-01,CO
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2009-01-01,2009-04-01,NW
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2009-04-01,2009-07-01,DL
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2009-07-01,2009-10-01,NW
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2009-10-01,2010-01-01,CO
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2010-01-01,2014-04-01,DL
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2014-04-01,2014-10-01,AA
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2014-10-01,2015-10-01,DL
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2015-10-01,2016-10-01,AA
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2016-10-01,2017-10-01,DL
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2017-10-01,2018-01-01,AA
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2018-01-01,2018-07-01,UA
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2008-01-01,2010-10-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2011-01-01,2011-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2012-01-01,2012-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2013-01-01,2013-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2014-01-01,2014-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2015-01-01,2015-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2016-01-01,2016-04-01,G4
"Cedar Rapids/Iowa City, IA","Las Vegas, NV",2017-01-01,2017-04-01,G4
"Chicago, IL","Washington, DC (Metropolitan Area)",2008-01-01,2012-07-01,WN
"Chicago, IL","Washington, DC (Metropolitan Area)",2012-07-01,2014-01-01,AA
"Chicago, IL","Washington, DC (Metropolitan Area)",2014-01-01,2018-07-01,WN
"Orlando, FL","Washington, DC (Metropolitan Area)",2008-01-01,2008-04-01,WN
"Orlando, FL","Washington, DC (Metropolitan Area)",2008-04-01,2009-04-01,FL
"Orlando, FL","Washington, DC (Metropolitan Area)",2009-04-01,2009-07-01,WN
"Orlando, FL","Washington, DC (Metropolitan Area)",2009-07-01,2011-01-01,FL
"Orlando, FL","Washington, DC (Metropolitan Area)",2011-01-01,2011-10-01,B6
"Orlando, FL","Washington, DC (Metropolitan Area)",2011-10-01,2012-01-01,FL
"Orlando, FL","Washington, DC (Metropolitan Area)",2012-01-01,2012-10-01,B6
"Orlando, FL","Washington, DC (Metropolitan Area)",2012-10-01,2013-01-01,FL
"Orlando, FL","Washington, DC (Metropolitan Area)",2013-01-01,2013-10-01,B6
"Orlando, FL","Washington, DC (Metropolitan Area)",2013-10-01,2014-01-01,FL
"Orlando, FL","Washington, DC (Metropolitan Area)",2014-01-01,2016-07-01,B6
"Orlando, FL","Washington, DC (Metropolitan Area)",2016-07-01,2016-10-01,WN
"Orlando, FL","Washington, DC (Metropolitan Area)",2016-10-01,2017-01-01,B6
"Orlando, FL","Washington, DC (Metropolitan Area)",2017-01-01,2017-07-01,WN
"Orlando, FL","Washington, DC (Metropolitan Area)",2017-07-01,2018-07-01,B6
"Miami, FL (Metropolitan Area)","San Diego, CA",2008-01-01,2008-10-01,CO
"Miami, FL (Metropolitan Area)","San Diego, CA",2008-10-01,2009-01-01,WN
"Miami, FL (Metropolitan Area)","San Diego, CA",2009-01-01,2009-04-01,CO
"Miami, FL (Metropolitan Area)","San Diego, CA",2009-04-01,2009-10-01,WN
"Miami, FL (Metropolitan Area)","San Diego, CA",2009-10-01,2010-01-01,CO
"Miami, FL (Metropolitan Area)","San Diego, CA",2010-01-01,2012-04-01,WN
"Miami, FL (Metropolitan Area)","San Diego, CA",2012-04-01,2013-01-01,UA
"Miami, FL (Metropolitan Area)","San Diego, CA",2013-01-01,2016-07-01,WN
"Miami, FL (Metropolitan Area)","San Diego, CA",2016-07-01,2018-07-01,B6
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2008-01-01,2008-04-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2008-04-01,2008-07-01,DL
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2008-07-01,2008-10-01,CO
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2008-10-01,2009-07-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2009-07-01,2009-10-01,DL
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2009-10-01,2010-01-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2010-01-01,2011-04-01,DL
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2011-04-01,2011-10-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2011-10-01,2012-01-01,DL
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2012-01-01,2012-04-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2012-04-01,2012-10-01,DL
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2012-10-01,2014-04-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2014-04-01,2014-10-01,DL
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2014-10-01,2015-01-01,US
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2015-01-01,2015-04-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2015-04-01,2015-07-01,DL
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2015-07-01,2015-10-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2015-10-01,2016-01-01,AA
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2016-01-01,2017-10-01,WN
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2017-10-01,2018-04-01,VX
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2018-04-01,2018-07-01,AS
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2008-01-01,2009-10-01,FL
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2009-10-01,2010-10-01,WN
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2010-10-01,2011-04-01,FL
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2011-04-01,2012-10-01,F9
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2012-10-01,2015-01-01,FL
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2015-01-01,2016-04-01,WN
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2016-04-01,2016-07-01,UA
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2016-07-01,2018-07-01,WN
"Orlando, FL","Portland, OR",2008-01-01,2008-10-01,WN
"Orlando, FL","Portland, OR",2008-10-01,2009-10-01,CO
"Orlando, FL","Portland, OR",2009-10-01,2010-01-01,WN
"Orlando, FL","Portland, OR",2010-01-01,2010-10-01,CO
"Orlando, FL","Portland, OR",2010-10-01,2011-01-01,DL
"Orlando, FL","Portland, OR",2011-01-01,2011-04-01,WN
"Orlando, FL","Portland, OR",2011-04-01,2012-01-01,CO
"Orlando, FL","Portland, OR",2012-01-01,2012-07-01,WN
"Orlando, FL","Portland, OR",2012-07-01,2013-01-01,UA
"Orlando, FL","Portland, OR",2013-01-01,2013-07-01,WN
"Orlando, FL","Portland, OR",2013-07-01,2014-01-01,UA
"Orlando, FL","Portland, OR",2014-01-01,2014-10-01,WN
"Orlando, FL","Portland, OR",2014-10-01,2015-01-01,UA
"Orlando, FL","Portland, OR",2015-01-01,2015-04-01,US
"Orlando, FL","Portland, OR",2015-04-01,2015-07-01,F9
"Orlando, FL","Portland, OR",2015-07-01,2015-10-01,AA
"Orlando, FL","Portland, OR",2015-10-01,2016-01-01,F9
"Orlando, FL","Portland, OR",2016-01-01,2016-04-01,WN
"Orlando, FL","Portland, OR",2016-04-01,2016-10-01,UA
"Orlando, FL","Portland, OR",2016-10-01,2017-01-01,WN
"Orlando, FL","Portland, OR",2017-01-01,2018-07-01,UA
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",2008-01-01,2014-04-01,FL
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",2014-04-01,2016-01-01,WN
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",2016-01-01,2016-07-01,AA
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",2016-07-01,2016-10-01,DL
"Cleveland, OH (Metropolitan Area)","New York City, NY (Metropolitan Area)",2016-10-01,2018-07-01,AA
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",2008-01-01,2008-07-01,WN
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",2008-07-01,2009-01-01,UA
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",2009-01-01,2010-10-01,YX
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",2010-10-01,2012-04-01,F9
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",2012-04-01,2015-10-01,WN
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",2015-10-01,2016-01-01,DL
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",2016-01-01,2017-10-01,WN
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",2017-10-01,2018-07-01,AS
"Dallas/Fort Worth, TX","El Paso, TX",2008-01-01,2008-10-01,WN
"Dallas/Fort Worth, TX","El Paso, TX",2008-10-01,2009-01-01,AA
"Dallas/Fort Worth, TX","El Paso, TX",2009-01-01,2012-10-01,WN
"Dallas/Fort Worth, TX","El Paso, TX",2012-10-01,2014-01-01,AA
"Dallas/Fort Worth, TX","El Paso, TX",2014-01-01,2014-04-01,WN
"Dallas/Fort Worth, TX","El Paso, TX",2014-04-01,2014-07-01,AA
"Dallas/Fort Worth, TX","El Paso, TX",2014-07-01,2018-07-01,WN
"San Antonio, TX","San Diego, CA",2008-01-01,2008-10-01,US
"San Antonio, TX","San Diego, CA",2008-10-01,2009-01-01,F9
"San Antonio, TX","San Diego, CA",2009-01-01,2009-10-01,WN
"San Antonio, TX","San Diego, CA",2009-10-01,2010-01-01,CO
"San Antonio, TX","San Diego, CA",2010-01-01,2010-04-01,WN
"San Antonio, TX","San Diego, CA",2010-04-01,2010-07-01,F9
"San Antonio, TX","San Diego, CA",2010-07-01,2010-10-01,DL
"San Antonio, TX","San Diego, CA",2010-10-01,2011-01-01,CO
"San Antonio, TX","San Diego, CA",2011-01-01,2011-04-01,DL
"San Antonio, TX","San Diego, CA",2011-04-01,2011-07-01,UA
"San Antonio, TX","San Diego, CA",2011-07-01,2012-01-01,F9
"San Antonio, TX","San Diego, CA",2012-01-01,2012-04-01,AA
"San Antonio, TX","San Diego, CA",2012-04-01,2013-04-01,UA
"San Antonio, TX","San Diego, CA",2013-04-01,2013-10-01,DL
"San Antonio, TX","San Diego, CA",2013-10-01,2014-04-01,WN
"San Antonio, TX","San Diego, CA",2014-04-01,2014-07-01,DL
"San Antonio, TX","San Diego, CA",2014-07-01,2018-01-01,WN
"San Antonio, TX","San Diego, CA",2018-01-01,2018-07-01,F9
"Detroit, MI","Memphis, TN",2008-01-01,2008-04-01,UA
"Detroit, MI","Memphis, TN",2008-04-01,2008-07-01,AA
"Detroit, MI","Memphis, TN",2008-07-01,2008-10-01,DL
"Detroit, MI","Memphis, TN",2008-10-01,2009-01-01,UA
"Detroit, MI","Memphis, TN",2009-04-01,2009-10-01,UA
"Detroit, MI","Memphis, TN",2009-10-01,2010-04-01,NW
"Detroit, MI","Memphis, TN",2010-04-01,2011-01-01,FL
"Detroit, MI","Memphis, TN",2011-07-01,2011-10-01,FL
"Detroit, MI","Memphis, TN",2012-07-01,2013-01-01,FL
